,,Gold / Silver cards should be tier 0,,,,,,,,e.g. Range(3) or Radius(4),,,Replace line break with \n pls
,,,"The ""Alt path"" card, the one different from the starting card of the same color",,,,,,Leave blank if unsigned,,Leave blank if unsigned,,
,,,,,,,,,,leave blank if n/a,,Blank if n/a,
Name,Color,Tier,Alternate?,Initiative,Attack Value,Defense Value,Movement Value,Primary Kind,Primary Sign,Reach,Reach Sign,Item Kind,Text
Back to Back,SILVER,0,FALSE,8,,2,,SKILL,,Radius(2),,,Swap with a friendly minion in radius.
Quickdraw,RED,1,FALSE,8,2,6,4,ATTACK,PLUS,Range(2),,,Target a unit in range. +3 Attack if the\ntarget played and attack card this turn.
Gunslinger,RED,2,FALSE,9,3,6,4,ATTACK,PLUS,Range(2),,INITIATIVE,Target a unit in range. +3 Attack if the\ntarget played and attack card this turn.
Shootout,RED,2,TRUE,9,3,6,4,ATTACK,,Range(2),,DEFENSE,"Target a unit in range. After the attack:\nIf the target was adjacent to you, remove\nup to one enemy minion adjacent to you.\n(You gain no coins for removing a minion, only for defeating.)"
Dead Shot,RED,3,FALSE,9,3,7,4,ATTACK,PLUS,Range(2),,MOVEMENT,Target a unit in range. +4 Attack if the\ntarget played and attack card this turn.
Bullet Hell,RED,3,TRUE,9,3,7,4,ATTACK,,Range(2),,RADIUS,"Target a unit in range. After the attack:\nIf the target was adjacent to you, remove\nup to two enemy minions adjacent to you."
Troop Movement,GREEN,1,FALSE,4,,2,2,SKILL,,Radius(2),,,"Move a friendly minion in radius 1 space,\nto a space in radius. May repeat once."
Marching Orders,GREEN,2,FALSE,3,,3,2,SKILL,,Radius(3),,ATTACK,"Move a friendly minion in radius 1 space,\nto a space in radius. May repeat once."
Close Support,GREEN,2,TRUE,3,,3,2,SKILL,,Radius(3),,INITIATIVE,"An enemy hero in radius adjacent to your\nfriendly minion discards a card, if able."
Path to Victory,GREEN,3,FALSE,3,,3,2,SKILL,,Radius(3),,RANGE,"Move a friendly minion in radius 1 space, to a\nspace in radius. May repeat up to two times."
Covering Fire,GREEN,3,TRUE,3,,3,2,SKILL,,Radius(3),,INITIATIVE,"An enemy hero in radius adjacent to your\nfriendly minion discards a card, or is defeated."
Point Blank Shot,GOLD,0,FALSE,12,2,2,1,ATTACK,,Range(1),,,"Target a unit in range. After the attack:\nIf the target is adjacent to you, push it 1 space."
Listen Up,BLUE,1,FALSE,9,,3,3,SKILL,,Radius(1),,,Swap two minions in radius.
Roger Roger,BLUE,2,FALSE,10,,4,3,SKILL,,Radius(2),,ATTACK,Swap two minions in radius.
Steady Advance,BLUE,2,TRUE,10,,4,3,SKILL,,Radius(2),,DEFENSE,"If there are two or more friendly minions in\nradius, you may retrieve a discarded card;\nif you do, you may move 1 space."
Ready and Waiting,BLUE,3,FALSE,10,,4,3,SKILL,,Radius(2),,ATTACK,"Swap two minions in radius,\nignoring heavy minion immunity."
Unwavering Resolve,BLUE,3,TRUE,10,,4,3,SKILL,,Radius(2),,DEFENSE,"If there are two or more friendly minions in\nradius, you may retrieve a discarded card;\nif you do, you may move 2 spaces."
,,,,,,,,,,,,,
Ultimate:,"Your basic attack has +2 Range and\n+2 Attack. If you push an enemy hero,\nthat hero discards a card, or is defeated.",,,,,,,,,,,,
,"^ Just write it out above, I'll deal with it separately",,,,,,,,,,,,
